date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016-01-11 21:50:00,100,20,21.500,45.333,20.700,44.933,20.390,46.060,19.567,48.467,18.823,56.727,5.590,86.467,17.865,43.570,19.290,49.327,16.890,44.700,5.667,735.733,87.833,6.000,40.000,3.733,17.017,17.017
2016-01-11 22:00:00,110,20,21.500,45.127,20.790,44.633,20.390,46.000,19.667,48.093,18.963,55.333,5.590,86.325,17.790,43.400,19.290,49.163,16.823,44.590,5.600,735.800,88.000,6.000,40.000,3.700,24.104,24.104
2016-01-11 22:10:00,400,20,21.533,44.967,20.790,44.360,20.427,45.933,19.600,47.500,19.033,54.093,5.657,86.227,17.790,43.223,19.357,49.030,16.823,44.530,5.650,735.883,87.833,6.167,40.000,3.717,29.978,29.978
2016-01-11 22:20:00,400,20,21.600,44.767,20.890,44.223,20.500,45.933,19.697,47.627,19.100,53.367,5.833,85.767,17.790,43.030,19.390,48.863,16.890,44.590,5.700,735.967,87.667,6.333,40.000,3.733,24.677,24.677
2016-01-11 22:30:00,390,30,21.600,44.560,20.963,43.963,20.500,45.790,20.097,47.567,19.158,52.472,5.900,85.033,17.790,42.760,19.390,48.863,16.890,44.523,5.750,736.050,87.500,6.500,40.000,3.750,9.311,9.311
2016-01-11 22:40:00,240,20,21.600,44.360,21.000,43.833,20.500,45.730,20.597,47.223,19.200,51.990,6.000,84.127,17.790,42.627,19.340,48.950,16.823,44.433,5.800,736.133,87.333,6.667,40.000,3.767,41.369,41.369
2016-01-11 22:50:00,60,20,21.600,44.200,21.000,43.700,20.500,45.590,20.997,47.030,19.223,51.520,6.000,84.060,17.700,42.627,19.290,49.230,16.890,44.500,5.850,736.217,87.167,6.833,40.000,3.783,33.423,33.423
2016-01-11 23:00:00,60,20,21.600,44.200,21.000,43.590,20.418,45.545,21.167,46.527,19.290,51.230,5.967,84.790,17.700,42.760,19.357,49.430,16.890,44.500,5.900,736.300,87.000,7.000,40.000,3.800,39.712,39.712
2016-01-11 23:10:00,60,20,21.600,44.200,21.000,43.590,20.390,45.663,21.033,46.400,19.290,51.060,5.900,85.597,17.700,43.030,19.390,49.890,16.890,45.067,5.800,736.400,87.833,6.833,37.000,3.850,5.397,5.397
2016-01-11 23:20:00,50,10,21.600,44.200,21.000,43.700,20.290,45.730,20.963,46.433,19.290,50.933,5.763,86.260,17.700,43.163,19.390,50.163,16.890,45.260,5.700,736.500,88.667,6.667,34.000,3.900,36.186,36.186
2016-01-11 23:30:00,70,20,21.500,44.230,20.927,43.760,20.290,45.790,20.865,46.568,19.290,50.863,5.623,86.593,17.700,43.400,19.390,50.463,16.890,45.433,5.600,736.600,89.500,6.500,31.000,3.950,20.564,20.564
2016-01-11 23:40:00,60,20,21.500,44.363,20.890,43.845,20.290,45.790,20.730,46.590,19.290,50.790,5.590,87.497,17.700,43.467,19.390,50.723,16.890,45.560,5.500,736.700,90.333,6.333,28.000,4.000,41.047,41.047
2016-01-11 23:50:00,40,20,21.390,44.433,20.790,43.790,20.230,45.657,20.700,46.790,19.200,50.663,5.590,87.897,17.700,43.627,19.390,50.963,16.890,45.627,5.400,736.800,91.167,6.167,25.000,4.050,32.353,32.353
2016-01-12 00:00:00,40,10,21.390,44.560,20.790,43.863,20.200,45.663,20.633,46.790,19.200,50.530,5.590,88.633,17.700,43.760,19.390,51.163,16.890,45.700,5.300,736.900,92.000,6.000,22.000,4.100,39.147,39.147
2016-01-12 00:10:00,30,20,21.290,44.827,20.700,44.000,20.200,45.590,20.567,46.933,19.200,50.500,5.530,89.027,17.700,43.933,19.463,51.500,16.890,45.790,5.267,737.000,92.000,6.000,25.000,4.067,27.652,27.652
2016-01-12 00:20:00,40,20,21.290,44.967,20.633,44.000,20.167,45.500,20.500,47.133,19.200,50.433,5.530,89.400,17.760,44.333,19.390,51.560,16.890,45.863,5.233,737.100,92.000,6.000,28.000,4.033,26.486,26.486
2016-01-12 00:30:00,50,20,21.260,45.090,20.600,44.030,20.100,45.500,20.500,47.230,19.167,50.363,5.530,89.193,17.790,44.963,19.390,51.860,16.890,45.900,5.200,737.200,92.000,6.000,31.000,4.000,39.468,39.468
2016-01-12 00:40:00,310,10,21.200,45.090,20.600,44.090,20.100,45.500,20.427,47.230,19.100,50.290,5.400,89.400,17.790,45.223,19.390,52.000,16.890,45.967,5.167,737.300,92.000,6.000,34.000,3.967,1.167,1.167
2016-01-12 00:50:00,380,20,21.167,45.230,20.500,44.127,20.100,45.500,20.460,47.360,19.067,50.260,5.200,88.990,17.790,45.327,19.357,52.090,16.890,46.030,5.133,737.400,92.000,6.000,37.000,3.933,23.862,23.862
2016-01-12 01:00:00,380,20,21.075,45.373,20.500,44.200,20.100,45.530,20.793,47.560,19.000,50.127,4.867,89.063,17.790,45.425,19.290,52.163,16.890,46.090,5.100,737.500,92.000,6.000,40.000,3.900,36.616,36.616
2016-01-12 01:10:00,370,20,21.000,45.400,20.390,44.200,20.100,45.590,21.263,47.467,19.000,50.090,4.933,91.160,17.790,45.560,19.290,52.500,16.890,46.200,5.117,737.633,92.000,5.833,40.000,3.917,34.637,34.637
2016-01-12 01:20:00,120,10,21.000,45.590,20.390,44.260,20.100,45.590,21.597,47.400,19.000,50.030,5.000,91.433,17.790,45.730,19.230,52.900,16.890,46.200,5.133,737.767,92.000,5.667,40.000,3.933,23.881,23.881
2016-01-12 01:30:00,50,0,20.927,45.590,20.290,44.290,20.167,45.530,21.890,46.967,19.000,50.030,4.867,91.260,17.790,45.863,19.290,53.500,16.890,46.290,5.150,737.900,92.000,5.500,40.000,3.950,43.060,43.060
2016-01-12 01:40:00,40,0,20.890,45.667,20.230,44.290,20.133,45.500,21.823,46.227,18.927,50.090,4.727,91.593,17.790,45.827,19.290,53.960,16.890,46.433,5.167,738.033,92.000,5.333,40.000,3.967,21.905,21.905
2016-01-12 01:50:00,50,0,20.890,46.060,20.200,44.400,20.200,45.500,21.667,46.060,18.890,50.090,4.467,91.760,17.790,45.967,19.290,54.463,16.890,46.633,5.183,738.167,92.000,5.167,40.000,3.983,12.240,12.240
2016-01-12 02:00:00,40,0,20.790,46.200,20.200,44.467,20.167,45.500,21.533,45.933,18.890,50.172,4.333,91.760,17.790,46.000,19.223,54.722,16.890,46.827,5.200,738.300,92.000,5.000,40.000,4.000,3.534,3.534
2016-01-12 02:10:00,50,0,20.790,46.200,20.100,44.530,20.125,45.425,21.357,45.900,18.890,50.200,4.157,91.833,17.790,46.000,19.200,54.967,16.963,46.967,5.133,738.400,92.000,4.833,40.000,3.933,4.973,4.973
2016-01-12 02:20:00,50,0,20.700,46.260,20.100,44.590,20.133,45.400,21.230,45.900,18.790,50.090,4.157,92.567,17.890,46.000,19.200,54.967,17.000,47.230,5.067,738.500,92.000,4.667,40.000,3.867,15.814,15.814
2016-01-12 02:30:00,50,0,20.700,46.200,20.000,44.433,20.200,45.500,21.067,45.900,18.790,50.090,4.333,93.530,17.890,46.060,19.200,54.900,17.000,47.363,5.000,738.600,92.000,4.500,40.000,3.800,25.932,25.932
2016-01-12 02:40:00,40,0,20.600,46.200,20.000,44.500,20.200,45.500,20.927,45.900,18.790,50.090,4.333,93.323,17.890,46.090,19.200,54.863,17.000,47.530,4.933,738.700,92.000,4.333,40.000,3.733,33.100,33.100
2016-01-12 02:50:00,40,0,20.600,46.127,20.000,44.500,20.200,45.400,20.745,45.900,18.730,50.090,4.190,93.127,17.823,45.963,19.133,54.790,17.000,47.663,4.867,738.800,92.000,4.167,40.000,3.667,20.342,20.342
2016-01-12 03:00:00,30,0,20.567,46.067,19.890,44.590,20.200,45.400,20.667,46.000,18.700,50.090,4.063,92.867,17.857,45.967,19.200,54.900,17.000,47.827,4.800,738.900,92.000,4.000,40.000,3.600,45.644,45.644
2016-01-12 03:10:00,20,0,20.500,46.200,19.823,44.530,20.290,45.467,20.533,46.000,18.700,50.090,3.863,92.967,17.857,45.967,19.200,54.967,17.000,47.900,4.817,739.017,92.167,4.333,40.000,3.633,14.680,14.680
2016-01-12 03:20:00,20,0,20.500,46.290,19.790,44.530,20.290,45.400,20.390,46.030,18.700,50.090,3.790,93.093,17.890,46.200,19.200,55.090,17.000,48.030,4.833,739.133,92.333,4.667,40.000,3.667,22.953,22.953
2016-01-12 03:30:00,40,0,20.427,46.230,19.790,44.530,20.200,45.400,20.390,46.163,18.633,50.030,3.895,94.045,17.890,46.200,19.200,55.030,17.000,48.090,4.850,739.250,92.500,5.000,40.000,3.700,16.620,16.620
2016-01-12 03:40:00,50,0,20.390,46.290,19.760,44.590,20.200,45.400,20.290,46.200,18.600,50.000,4.190,94.657,17.890,46.200,19.200,54.863,17.067,48.290,4.867,739.367,92.667,5.333,40.000,3.733,32.544,32.544
2016-01-12 03:50:00,50,0,20.390,46.363,19.700,44.590,20.200,45.500,20.230,46.260,18.600,50.000,4.263,94.797,17.890,46.127,19.200,54.730,17.067,48.363,4.883,739.483,92.833,5.667,40.000,3.767,12.901,12.901
2016-01-12 04:00:00,40,0,20.290,46.500,19.700,44.700,20.260,45.500,20.100,46.290,18.600,50.000,4.463,95.030,17.890,46.090,19.100,54.560,17.033,48.463,4.900,739.600,93.000,6.000,40.000,3.800,23.927,23.927
2016-01-12 04:10:00,50,0,20.290,46.545,19.633,44.627,20.290,45.500,20.033,46.290,18.533,50.000,4.590,95.030,17.890,45.920,19.100,54.500,17.033,48.590,4.917,739.650,92.667,5.833,40.000,3.767,38.316,38.316
2016-01-12 04:20:00,40,0,20.230,46.500,19.600,44.590,20.290,45.500,20.000,46.400,18.500,50.000,4.727,94.867,17.890,45.730,19.100,54.500,17.033,48.767,4.933,739.700,92.333,5.667,40.000,3.733,4.212,4.212
2016-01-12 04:30:00,40,0,20.200,46.433,19.600,44.590,20.290,45.500,19.927,46.467,18.500,50.000,4.800,94.727,17.890,45.700,19.100,54.500,17.033,48.900,4.950,739.750,92.000,5.500,40.000,3.700,43.766,43.766
2016-01-12 04:40:00,40,0,20.200,46.560,19.567,44.700,20.290,45.560,19.857,46.467,18.500,50.000,4.800,94.493,17.890,45.700,19.100,54.400,17.100,49.045,4.967,739.800,91.667,5.333,40.000,3.667,16.954,16.954
2016-01-12 04:50:00,60,0,20.167,46.363,19.500,44.700,20.290,45.590,19.790,46.467,18.500,50.000,4.800,94.227,17.890,45.590,19.100,54.400,17.100,49.200,4.983,739.850,91.333,5.167,40.000,3.633,41.972,41.972
2016-01-12 05:00:00,50,0,20.100,46.363,19.500,44.790,20.290,45.590,19.760,46.590,18.500,50.000,4.800,94.127,17.890,45.663,19.100,54.290,17.100,49.260,5.000,739.900,91.000,5.000,40.000,3.600,17.334,17.334
2016-01-12 05:10:00,50,0,20.100,46.500,19.427,44.730,20.290,45.590,19.700,46.663,18.473,49.975,4.800,94.000,17.890,45.590,19.100,54.230,17.100,49.290,4.983,739.967,91.667,4.833,40.000,3.683,16.689,16.689
2016-01-12 05:20:00,40,0,20.033,46.360,19.390,44.730,20.290,45.590,19.667,46.663,18.390,49.900,4.763,93.563,17.890,45.590,19.050,54.045,17.100,49.363,4.967,740.033,92.333,4.667,40.000,3.767,23.818,23.818
2016-01-12 05:30:00,40,0,20.000,46.290,19.390,44.790,20.357,45.590,19.600,46.590,18.390,49.900,4.763,94.023,17.890,45.627,19.000,54.000,17.100,49.433,4.950,740.100,93.000,4.500,40.000,3.850,44.610,44.610
2016-01-12 05:40:00,40,0,20.000,46.290,19.390,44.790,20.390,45.590,19.600,46.627,18.390,49.900,4.833,94.727,17.890,45.627,19.067,54.000,17.100,49.560,4.933,740.167,93.667,4.333,40.000,3.933,43.217,43.217
2016-01-12 05:50:00,40,0,20.000,46.230,19.390,44.790,20.323,45.590,19.600,46.700,18.390,49.900,4.833,95.000,17.890,45.590,19.100,53.900,17.100,49.627,4.917,740.233,94.333,4.167,40.000,4.017,19.499,19.499
2016-01-12 06:00:00,50,0,19.927,46.230,19.290,44.900,20.323,45.590,19.500,46.700,18.390,49.900,4.900,95.530,17.890,45.723,19.033,53.827,17.100,49.700,4.900,740.300,95.000,4.000,40.000,4.100,38.866,38.866
2016-01-12 06:10:00,70,10,19.890,46.230,19.290,44.925,20.323,45.590,19.500,46.700,18.357,49.933,4.997,95.820,17.890,45.900,19.000,53.790,17.100,49.827,4.933,740.433,94.667,4.167,38.167,4.100,48.031,48.031
2016-01-12 06:20:00,40,0,19.890,46.430,19.290,45.000,20.290,45.590,19.427,46.700,18.290,50.000,5.090,96.030,17.890,45.967,19.000,53.790,17.100,49.967,4.967,740.567,94.333,4.333,36.333,4.100,21.733,21.733
2016-01-12 06:30:00,30,0,19.890,46.627,19.290,45.127,20.290,45.590,19.390,46.700,18.290,50.127,5.000,95.900,17.890,45.900,19.000,53.760,17.133,50.000,5.000,740.700,94.000,4.500,34.500,4.100,35.626,35.626
2016-01-12 06:40:00,20,10,19.890,46.700,19.218,45.200,20.290,45.500,19.390,46.700,18.290,50.200,5.000,95.967,17.890,45.827,19.000,53.700,17.200,50.000,5.033,740.833,93.667,4.667,32.667,4.100,20.000,20.000
2016-01-12 06:50:00,30,0,19.890,46.863,19.200,45.245,20.290,45.433,19.290,46.790,18.290,50.230,4.967,95.933,17.890,45.722,19.000,53.875,17.200,50.000,5.067,740.967,93.333,4.833,30.833,4.100,16.268,16.268
2016-01-12 07:00:00,40,10,19.823,46.863,19.200,45.363,20.200,45.290,19.290,46.790,18.290,50.290,4.900,95.933,17.890,45.790,19.000,54.000,17.200,50.000,5.100,741.100,93.000,5.000,29.000,4.100,37.854,37.854
2016-01-12 07:10:00,50,10,19.857,46.930,19.200,45.400,20.200,45.290,19.290,46.790,18.290,50.427,4.933,96.090,17.890,45.863,19.000,54.060,17.200,50.090,5.100,741.217,92.667,5.000,30.833,4.050,10.135,10.135
2016-01-12 07:20:00,60,20,19.790,46.790,19.200,45.327,20.167,45.290,19.290,46.597,18.230,50.833,4.933,96.090,17.890,45.520,18.927,53.800,17.200,49.963,5.100,741.333,92.333,5.000,32.667,4.000,35.556,35.556
2016-01-12 07:30:00,60,20,19.790,46.895,19.175,45.195,20.100,45.290,19.260,46.297,18.200,51.267,5.000,96.090,17.890,45.140,18.973,53.150,17.200,49.723,5.100,741.450,92.000,5.000,34.500,3.950,6.085,6.085
2016-01-12 07:40:00,70,20,19.790,47.427,19.100,45.030,20.100,45.290,19.200,46.090,18.200,51.527,5.000,96.090,17.857,44.833,18.890,52.800,17.200,49.463,5.100,741.567,91.667,5.000,36.333,3.900,12.274,12.274
2016-01-12 07:50:00,60,30,19.790,48.367,19.100,45.000,20.100,45.290,19.167,45.967,18.100,51.827,5.000,96.090,17.790,44.567,18.857,52.363,17.150,48.995,5.100,741.683,91.333,5.000,38.167,3.850,7.165,7.165
2016-01-12 08:00:00,140,20,19.790,48.667,19.100,45.000,20.200,45.290,19.167,45.900,18.100,51.967,5.060,96.157,17.790,44.327,18.790,51.963,17.100,48.633,5.100,741.800,91.000,5.000,40.000,3.800,11.981,11.981
2016-01-12 08:10:00,110,30,19.790,48.533,19.067,45.060,20.133,45.290,19.200,45.760,18.100,52.127,5.090,96.027,17.857,44.660,18.790,51.633,17.100,48.360,5.050,741.883,91.000,5.000,40.000,3.733,2.947,2.947
2016-01-12 08:20:00,90,10,19.890,50.000,19.022,45.044,20.150,45.245,19.200,45.627,18.033,52.200,5.090,95.760,18.000,45.063,18.790,51.395,17.100,48.027,5.000,741.967,91.000,5.000,40.000,3.667,32.114,32.114
2016-01-12 08:30:00,60,0,19.890,48.733,19.100,45.200,20.100,45.200,19.100,45.527,18.050,52.400,5.000,95.457,18.000,44.457,18.700,51.045,17.100,47.767,4.950,742.050,91.000,5.000,40.000,3.600,43.813,43.813
2016-01-12 08:40:00,60,0,19.890,48.027,19.033,45.127,20.100,45.200,19.100,45.400,18.000,52.500,4.793,94.790,17.890,43.960,18.700,50.760,17.100,47.467,4.900,742.133,91.000,5.000,40.000,3.533,38.946,38.946
2016-01-12 08:50:00,60,0,19.890,47.633,19.000,45.090,20.100,45.200,19.100,45.363,18.000,52.560,4.467,94.193,17.890,43.567,18.700,50.645,17.033,47.267,4.850,742.217,91.000,5.000,40.000,3.467,39.865,39.865
2016-01-12 09:00:00,50,0,19.857,47.063,19.000,45.030,20.100,45.200,19.100,45.230,18.000,52.790,4.298,94.450,17.857,43.100,18.700,50.420,17.000,46.930,4.800,742.300,91.000,5.000,40.000,3.400,22.764,22.764
2016-01-12 09:10:00,60,0,19.790,46.657,19.000,44.967,20.100,45.163,19.100,45.090,17.927,52.790,4.063,94.193,17.790,42.767,18.633,50.157,17.067,46.790,4.883,742.383,91.000,5.000,38.167,3.483,20.504,20.504
2016-01-12 09:20:00,50,0,19.790,46.333,19.000,44.827,20.100,45.090,19.100,44.967,17.890,52.760,4.030,94.667,17.790,42.430,18.667,50.027,17.033,46.590,4.967,742.467,91.000,5.000,36.333,3.567,40.544,40.544
2016-01-12 09:30:00,30,0,19.790,46.067,19.000,44.645,20.100,45.163,19.033,44.767,17.890,52.033,4.090,95.000,17.790,42.230,18.600,49.827,17.033,46.390,5.050,742.550,91.000,5.000,34.500,3.650,30.247,30.247
2016-01-12 09:40:00,40,0,19.760,45.863,18.963,44.560,20.033,44.963,19.000,44.663,18.000,50.900,4.123,95.397,17.700,41.967,18.600,49.663,17.000,46.163,5.133,742.633,91.000,5.000,32.667,3.733,32.736,32.736
2016-01-12 09:50:00,30,0,19.700,45.790,18.963,44.433,20.000,44.900,19.067,44.590,18.000,50.427,4.263,95.797,17.700,41.827,18.600,49.590,17.000,46.030,5.217,742.717,91.000,5.000,30.833,3.817,17.660,17.660
2016-01-12 10:00:00,260,0,19.700,45.663,18.890,44.290,20.000,44.900,19.100,44.693,18.000,49.930,4.463,96.260,17.700,41.663,18.600,49.467,17.000,45.863,5.300,742.800,91.000,5.000,29.000,3.900,13.513,13.513
2016-01-12 10:10:00,500,0,19.700,45.590,18.890,44.230,19.890,44.900,19.167,45.027,18.000,49.657,4.730,96.467,17.700,41.590,18.533,49.400,17.000,45.730,5.483,742.883,90.167,5.000,30.833,3.950,49.634,49.634
2016-01-12 10:20:00,450,0,19.730,47.793,18.927,44.230,19.890,44.900,19.360,45.360,18.000,49.500,5.030,96.560,17.700,41.500,18.500,49.260,17.000,45.663,5.667,742.967,89.333,5.000,32.667,4.000,31.675,31.675
2016-01-12 10:30:00,50,10,19.790,48.793,19.000,44.363,19.890,44.863,19.693,45.560,18.000,49.560,5.157,96.500,17.700,41.400,18.500,49.200,17.000,45.463,5.850,743.050,88.500,5.000,34.500,4.050,10.660,10.660
2016-01-12 10:40:00,60,0,19.890,47.940,19.033,44.567,19.963,44.863,20.000,45.133,18.033,49.627,5.333,96.560,17.700,41.327,18.500,49.090,17.033,45.290,6.033,743.133,87.667,5.000,36.333,4.100,6.469,6.469
2016-01-12 10:50:00,60,0,19.890,47.160,19.033,44.567,19.927,44.790,20.067,44.860,18.100,49.567,5.400,96.293,17.700,41.260,18.500,49.090,17.033,45.230,6.217,743.217,86.833,5.000,38.167,4.150,23.906,23.906
2016-01-12 11:00:00,50,0,19.890,46.767,19.033,44.500,20.000,44.790,20.133,44.700,18.033,49.327,5.530,96.190,17.700,41.200,18.500,49.000,17.050,45.245,6.400,743.300,86.000,5.000,40.000,4.200,46.204,46.204
2016-01-12 11:10:00,50,0,20.000,46.297,19.100,44.500,20.000,44.790,20.200,44.627,18.100,49.327,5.797,96.190,17.730,41.027,18.500,48.933,17.100,45.290,6.500,743.333,85.167,5.333,38.000,4.167,29.938,29.938
2016-01-12 11:20:00,50,0,20.000,45.963,19.100,44.467,19.927,44.790,20.200,44.590,18.100,49.260,5.833,95.023,17.790,40.900,18.427,48.590,17.100,45.230,6.600,743.367,84.333,5.667,36.000,4.133,48.809,48.809
2016-01-12 11:30:00,60,0,20.000,46.223,19.100,44.400,19.945,44.790,20.133,44.463,18.100,49.127,5.967,94.563,17.790,40.700,18.500,48.463,17.100,45.200,6.700,743.400,83.500,6.000,34.000,4.100,36.590,36.590
2016-01-12 11:40:00,60,0,20.000,45.963,19.100,44.290,19.890,44.760,20.100,44.163,18.100,49.090,6.245,93.745,17.857,40.627,18.500,48.190,17.100,45.127,6.800,743.433,82.667,6.333,32.000,4.067,17.836,17.836
